,track_uri,artist_uri,genres
169,5uiWhMSPOyhq0W2SebfbuE,2FLqlgckDKdmpBrvLAT5BM,k-pop
170,1BwFLLe233S6HR1ravS3yi,2dIgFjalVxs4ThymZ67YCE,k-pop
170,1BwFLLe233S6HR1ravS3yi,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
170,1BwFLLe233S6HR1ravS3yi,2dIgFjalVxs4ThymZ67YCE,pop
171,2aSmaOoWoC2GPb3i5J9Daw,7jFUYMpMUBDL4JQtMZ5ilc,korean pop
172,2cF6aUShQcNWVnksMh5mKk,5lfGXaGmQck7m2077vsKpy,hindi indie
173,1HshHZrFIF5MRXWCZntOPr,2dIgFjalVxs4ThymZ67YCE,k-pop
173,1HshHZrFIF5MRXWCZntOPr,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
173,1HshHZrFIF5MRXWCZntOPr,2dIgFjalVxs4ThymZ67YCE,pop
174,1SrsEuRiRoopW2pZDaHgVA,2dIgFjalVxs4ThymZ67YCE,k-pop
174,1SrsEuRiRoopW2pZDaHgVA,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
174,1SrsEuRiRoopW2pZDaHgVA,2dIgFjalVxs4ThymZ67YCE,pop
175,2KHgPAJycXwbZ2S1xuUT9T,2dIgFjalVxs4ThymZ67YCE,k-pop
175,2KHgPAJycXwbZ2S1xuUT9T,2dIgFjalVxs4ThymZ67YCE,k-pop boy group
175,2KHgPAJycXwbZ2S1xuUT9T,2dIgFjalVxs4ThymZ67YCE,pop
176,5RqwjQWDwxQ3HTkOfXTrS6,2bWTIIQP9zaVc55RaMGu7e,korean r&b
177,0PwknbaUVwXJSmRh7qSfyi,7nqOGRxlXj7N2JYbgNEjYH,k-pop
177,0PwknbaUVwXJSmRh7qSfyi,7nqOGRxlXj7N2JYbgNEjYH,k-pop boy group
